GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
DOSW-Library,edu.eci.dows.tdd,DoswLibraryApplication,8,0,0,0,3,0,2,0,2,0
DOSW-Library,edu.eci.dows.tdd.core.service,LoanService,13,131,8,14,0,17,7,15,0,11
DOSW-Library,edu.eci.dows.tdd.core.service,UserService,13,93,8,6,0,8,7,11,0,11
DOSW-Library,edu.eci.dows.tdd.core.service,BookService,13,128,8,12,0,14,7,16,0,13
DOSW-Library,edu.eci.dows.tdd.core.exception,UserNotFoundException,4,0,0,0,2,0,1,0,1,0
DOSW-Library,edu.eci.dows.tdd.core.exception,BookNotAvailableException,4,0,0,0,2,0,1,0,1,0
DOSW-Library,edu.eci.dows.tdd.core.exception,LoanLimitExceededException,4,0,0,0,2,0,1,0,1,0
DOSW-Library,edu.eci.dows.tdd.controller,BookController,0,44,0,2,0,12,0,5,0,4
DOSW-Library,edu.eci.dows.tdd.controller,UserController,0,43,0,2,0,12,0,5,0,4
DOSW-Library,edu.eci.dows.tdd.controller,LoanController,0,49,0,0,0,10,0,3,0,3
DOSW-Library,edu.eci.dows.tdd.core.util,ValidationUtil,0,13,0,4,0,2,0,4,0,2
DOSW-Library,edu.eci.dows.tdd.core.util,DateUtil,0,13,0,4,0,2,0,4,0,2
DOSW-Library,edu.eci.dows.tdd.core.util,IdGeneratorUtil,0,6,0,0,0,2,0,2,0,2
DOSW-Library,edu.eci.dows.tdd.controller.dto,LoanDTO,41,211,27,19,0,7,22,16,0,15
DOSW-Library,edu.eci.dows.tdd.controller.dto,BookDTO,25,139,17,13,0,5,14,12,0,11
DOSW-Library,edu.eci.dows.tdd.controller.dto,UserDTO,18,103,12,10,0,4,10,10,0,9
DOSW-Library,edu.eci.dows.tdd.core.model,Book,23,141,16,14,0,5,13,13,0,11
DOSW-Library,edu.eci.dows.tdd.core.model,User,16,108,11,11,0,5,9,12,0,10
DOSW-Library,edu.eci.dows.tdd.core.model,Loan,39,218,26,20,0,8,21,18,0,16
DOSW-Library,edu.eci.dows.tdd.controller.mapper,LoanMapper,3,28,0,0,1,10,1,2,1,2
DOSW-Library,edu.eci.dows.tdd.controller.mapper,BookMapper,3,20,0,0,1,2,1,2,1,2
DOSW-Library,edu.eci.dows.tdd.controller.mapper,UserMapper,3,16,0,0,1,2,1,2,1,2
DOSW-Library,edu.eci.dows.tdd.core.validator,UserValidator,3,20,1,9,1,2,2,5,1,1
DOSW-Library,edu.eci.dows.tdd.core.validator,BookValidator,3,27,3,11,1,3,4,5,1,1
DOSW-Library,edu.eci.dows.tdd.core.validator,LoanValidator,3,15,0,8,1,1,1,5,1,1
